value,date
125972000,1997-08-01
126062000,1997-09-01
126157000,1997-10-01
126191000,1997-11-01
126258000,1997-12-01
126096000,1998-01-01
126305000,1998-02-01
126207000,1998-03-01
126271000,1998-04-01
126293000,1998-05-01
126362000,1998-06-01
126400000,1998-07-01
126307000,1998-08-01
126398000,1998-09-01
126472000,1998-10-01
126505000,1998-11-01
126568000,1998-12-01
126432000,1999-01-01
126566000,1999-02-01
126473000,1999-03-01
126535000,1999-04-01
126473000,1999-05-01
126618000,1999-06-01
126631000,1999-07-01
126531000,1999-08-01
126611000,1999-09-01
126667000,1999-10-01
126735000,1999-11-01
126772000,1999-12-01
126746000,2000-01-01
126794000,2000-02-01
126714000,2000-03-01
126758000,2000-04-01
126737000,2000-05-01
126826000,2000-06-01
126843000,2000-07-01
126770000,2000-08-01
126837000,2000-09-01
126925843,2000-10-01
126998000,2000-11-01
127027000,2000-12-01
126912000,2001-01-01
127050000,2001-02-01
126980000,2001-03-01
127052000,2001-04-01
127011000,2001-05-01
127125000,2001-06-01
127149000,2001-07-01
127069000,2001-08-01
127131000,2001-09-01
127316000,2001-10-01
127396000,2001-11-01
127397000,2001-12-01
127261000,2002-01-01
127343000,2002-02-01
127272000,2002-03-01
127371000,2002-04-01
127350000,2002-05-01
127418000,2002-06-01
127445000,2002-07-01
127362000,2002-08-01
127405000,2002-09-01
127486000,2002-10-01
127527000,2002-11-01
127564000,2002-12-01
127400000,2003-01-01
127563000,2003-02-01
127468000,2003-03-01
127623000,2003-04-01
127672000,2003-05-01
127733000,2003-06-01
127718000,2003-07-01
127643000,2003-08-01
127645000,2003-09-01
127694000,2003-10-01
127704000,2003-11-01
127750000,2003-12-01
127603000,2004-01-01
127739000,2004-02-01
127675000,2004-03-01
127736000,2004-04-01
127654000,2004-05-01
127768000,2004-06-01
127761000,2004-07-01
127703000,2004-08-01
127730000,2004-09-01
127787000,2004-10-01
127819000,2004-11-01
127838000,2004-12-01
127740000,2005-01-01
127793000,2005-02-01
127714000,2005-03-01
127791000,2005-04-01
127647000,2005-05-01
127780000,2005-06-01
